ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date,snapshot_date
NVDA,NVIDIA,半導体/AI,US,194.83,-1.39,129935067,156663418,0.83,"179304100,148835700,166476700,146147600,129935067",235.47,134.62,59.7,203.48,209.65,190.82,40.4,-4.0432,-3.0351,-1.0081,217.08,189.89,18.2,なし,29.88,0.61,4718977351680.0,85.2,51.0,301.6207,54.8,2026-07-02T23:04:08.662130,,42.33,157.04,,360.3,24.1,236.26,2026-05-14,157.13,2025-07-07,20260702
AMD,AMD,半導体/AI,US,517.82,-4.26,27272794,32038579,0.85,"52705100,26671000,34488500,28326800,27272794",580.91,110.73,86.6,516.84,460.38,278.19,54.6,23.2287,26.7133,-3.4846,578.63,455.05,50.8,なし,174.35,1.3,844357632000.0,37.8,,508.3125,-1.8,2026-07-02T23:04:09.042911,,115.82,138.52,,347.1,273.8,584.73,2026-06-30,133.5,2025-07-07,20260702
AVGO,Broadcom,半導体/AI,US,360.45,-2.41,26423042,35343937,0.75,"34839300,24285200,28517400,23712600,26423042",480.81,237.13,50.6,383.98,408.89,360.2,41.6,-11.5527,-9.1349,-2.4177,412.56,355.39,8.8,なし,59.88,0.69,1714869895168.0,47.9,70.0,523.72894,45.3,2026-07-02T23:04:09.459500,,84.54,267.94,,326.4,34.5,494.22,2026-06-03,267.62,2025-07-14,20260702
MRVL,Marvell Technology,半導体,US,245.29,-9.84,37558771,64127528,0.59,"41986200,31749200,37520100,33822700,37558771",316.43,60.03,72.3,282.05,223.63,122.57,42.3,13.093,20.745,-7.6519,320.27,243.83,1.9,なし,84.29,1.68,214764421120.0,27.6,9.0,249.33095,1.6,2026-07-02T23:04:09.869287,,60.74,74.05,,303.9,231.2,329.88,2026-06-18,61.32,2025-09-04,20260702
LRCX,Lam Research,半導体製造装置,US,351.41,-10.19,18873415,14636570,1.29,"19733700,14049600,16885100,18699300,18873415",433.33,80.15,76.8,369.26,320.92,222.49,48.3,21.1022,24.0212,-2.9189,437.12,301.4,36.8,なし,66.55,2.5,439463149568.0,23.8,27.0,348.64517,-0.8,2026-07-02T23:04:10.396458,,63.37,98.29,,454.5,257.5,438.5,2026-06-30,90.44,2025-07-31,20260702
KLAC,KLA Corporation,半導体検査装置,US,235.55,-11.51,23573075,16402093,1.44,"21394400,14628600,19909300,24163600,23573075",301.71,75.2,70.8,243.77,208.72,151.7,48.8,17.1009,17.9593,-0.8584,296.18,191.37,42.2,なし,66.54,3.12,307693125632.0,11.5,35.0,214.2143,-9.1,2026-07-02T23:04:10.848204,,47.27,91.52,,398.4,157.4,307.37,2026-06-30,82.87,2025-09-03,20260702
AMAT,Applied Materials,半導体製造装置,US,603.04,-7.35,15057181,13112994,1.15,"28138600,14165300,16461200,16089200,15057181",723.0,155.56,78.9,585.42,489.97,338.75,54.9,51.4853,50.793,0.6923,729.24,441.6,56.1,なし,56.84,1.64,478789271552.0,11.4,33.0,578.9143,-4.0,2026-07-02T23:04:11.283799,,141.94,188.63,,324.8,219.7,739.67,2026-06-30,153.78,2025-09-03,20260702
CDNS,Cadence Design,半導体EDA,US,373.14,-1.22,2030087,2621454,0.77,"3904700,2675600,2917800,1693400,2030087",416.39,265.66,71.3,383.55,367.54,327.46,42.1,1.2529,4.3536,-3.1007,403.99,363.12,24.5,なし,86.58,3.56,102917988352.0,18.7,,388.7796,4.2,2026-07-02T23:04:11.678775,,235.4,310.95,,58.5,20.0,416.69,2026-06-02,262.75,2026-02-03,20260702
SNPS,Synopsys,半導体EDA,US,437.16,-3.82,1360530,2139401,0.64,"5292800,2442100,2078700,1543200,1360530",645.35,380.47,21.4,458.66,483.12,456.51,39.0,-9.7215,-8.4523,-1.2692,482.19,435.13,4.3,なし,100.27,2.83,83707101184.0,41.9,,563.7438,29.0,2026-07-02T23:04:12.104563,,434.01,523.11,,0.7,-16.4,651.73,2025-07-30,376.18,2025-11-18,20260702
TSM,TSMC,半導体ファウンドリ,US,434.16,-2.27,18189463,15136848,1.2,"17974100,14881400,15074300,18534800,18189463",477.57,190.51,84.9,437.42,418.83,342.51,53.1,9.2666,10.1701,-0.9035,472.61,402.23,45.4,なし,37.72,1.4,2251759550464.0,35.1,86.0,487.5625,12.3,2026-07-02T23:04:12.521626,,98.86,231.04,,339.2,87.9,479.0,2026-06-30,221.25,2025-08-20,20260702
INTC,Intel,半導体,US,120.35,-5.25,122319394,131706939,0.93,"99475400,106805300,116996700,113107200,122319394",140.94,19.31,83.1,123.12,113.38,60.33,51.9,5.5389,6.5872,-1.0483,146.27,99.98,44.0,なし,77.06,1.36,604879060992.0,7.2,,98.49524,-18.2,2026-07-02T23:04:13.011197,,32.95,21.88,,265.3,450.0,142.35,2026-06-30,18.97,2025-08-01,20260702
